Posting Date;Simplified Description;Transaction Description;Reference;Additional Information;Transaction Type;Category;Subcategory;Debit;Credit;Transaction Date;Value Date;Reconciliation Flag
07/02/2025;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2025-02;DEMO202502000027;DEMO MONTHLY ENERGY BILL;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-92,00;;07/02/2025;07/02/2025;0
07/02/2025;CENTRAL BISTRO;CARD CENTRAL BISTRO PURCHASE 060225;DEMO202502000043;;Card Payment;Food;Restaurants & Cafes;-21,66;;06/02/2025;07/02/2025;0
03/02/2025;LILAC RESIDENCE;SEPA TRANSFER RENT 2025-02;DEMO202502000026;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/02/2025;03/02/2025;0
03/02/2025;LIDL;CARD LIDL PURCHASE 020225;DEMO202502000038;;Card Payment;Food;Supermarket;-56,65;;02/02/2025;03/02/2025;0
28/01/2025;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2025-01;DEMO202501000001;NET SALARY 2025-01 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2850,00;28/01/2025;28/01/2025;0
27/01/2025;LIDL;CARD LIDL PURCHASE 260125;DEMO202501000018;;Card Payment;Food;Supermarket;-43,55;;26/01/2025;27/01/2025;0
26/01/2025;UBER;CARD UBER TRIP PURCHASE 250125;DEMO202501000022;;Card Payment;Transportation;Taxi & Ride-Hailing;-19,45;;25/01/2025;26/01/2025;0
24/01/2025;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2025-01;DEMO202501000011;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/01/2025;24/01/2025;0
23/01/2025;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 220125;DEMO202501000020;;Card Payment;Food;Restaurants & Cafes;-35,67;;22/01/2025;23/01/2025;0
21/01/2025;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2025-01;DEMO202501000010;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/01/2025;21/01/2025;0
21/01/2025;LIDL;CARD LIDL PURCHASE 200125;DEMO202501000017;;Card Payment;Food;Supermarket;-92,53;;20/01/2025;21/01/2025;0
19/01/2025;OPENAI CHATGPT;CARD OPENAI CHATGPT 2025-01;DEMO202501000009;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/01/2025;19/01/2025;0
18/01/2025;BANK FEES;DEMO PACKAGE FEE;DEMO202501000012;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/01/2025;18/01/2025;0
18/01/2025;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202501000013;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/01/2025;18/01/2025;0
18/01/2025;CENTRAL PHARMACY;CARD CENTRAL PHARMACY PURCHASE 170125;DEMO202501000024;;Card Payment;Health & Wellness;Pharmacy;-32,62;;17/01/2025;18/01/2025;0
17/01/2025;NETFLIX;CARD NETFLIX 2025-01;DEMO202501000008;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/01/2025;17/01/2025;0
15/01/2025;MONOPRIX;CARD MONOPRIX PURCHASE 140125;DEMO202501000016;;Card Payment;Food;Supermarket;-83,82;;14/01/2025;15/01/2025;0
15/01/2025;SPOTIFY;CARD SPOTIFY 2025-01;DEMO202501000007;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/01/2025;15/01/2025;0
14/01/2025;FNAC DIRECT;CARD FNAC DIRECT PURCHASE 130125;DEMO202501000023;;Card Payment;Shopping & Services;Shopping & Services - Other;-83,78;;13/01/2025;14/01/2025;0
12/01/2025;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2025-01;DEMO202501000006;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/01/2025;12/01/2025;0
11/01/2025;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2025-01;DEMO202501000005;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/01/2025;11/01/2025;0
11/01/2025;UBER;CARD UBER TRIP PURCHASE 100125;DEMO202501000021;;Card Payment;Transportation;Taxi & Ride-Hailing;-19,59;;10/01/2025;11/01/2025;0
09/01/2025;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2025-01;DEMO202501000004;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/01/2025;09/01/2025;0
09/01/2025;LIDL;CARD LIDL PURCHASE 080125;DEMO202501000015;;Card Payment;Food;Supermarket;-84,96;;08/01/2025;09/01/2025;0
07/01/2025;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2025-01;DEMO202501000003;DEMO MONTHLY ENERGY BILL;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-98,00;;07/01/2025;07/01/2025;0
07/01/2025;SUSHI DEMO;CARD SUSHI DEMO PURCHASE 060125;DEMO202501000019;;Card Payment;Food;Restaurants & Cafes;-25,60;;06/01/2025;07/01/2025;0
03/01/2025;LILAC RESIDENCE;SEPA TRANSFER RENT 2025-01;DEMO202501000002;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/01/2025;03/01/2025;0
03/01/2025;LIDL;CARD LIDL PURCHASE 020125;DEMO202501000014;;Card Payment;Food;Supermarket;-60,63;;02/01/2025;03/01/2025;0
